ds,y
2016-03-23,2810
2016-03-24,3157
2016-03-25,2950
2016-03-26,2955
2016-03-27,3104
2016-03-28,3070
2016-03-29,3000
2016-03-30,3188
2016-03-31,3622
2016-04-01,3818
2016-04-02,3215
2016-04-03,3402
2016-04-04,3927
2016-04-05,4207
2016-04-06,3998
2016-04-07,4109
2016-04-08,3800
2016-04-09,3915
2016-04-10,3751
2016-04-11,3855
2016-04-12,3565
2016-04-13,3808
2016-04-14,3716
2016-04-15,3338
2016-04-16,3717
2016-04-17,3362
2016-04-18,3325
2016-04-19,3653
2016-04-20,3824
2016-04-21,4293
2016-04-22,4285
2016-04-23,4246
2016-04-24,4467
2016-04-25,4457
2016-04-26,4292
2016-04-27,4670
2016-04-28,4582
2016-04-29,4523
2016-04-30,4724
2016-05-01,4459
2016-05-02,4311
2016-05-03,4651
2016-05-04,4839
2016-05-05,5469
2016-05-06,5721
2016-05-07,5092
2016-05-08,4402
2016-05-09,5017
2016-05-10,4878
2016-05-11,4722
2016-05-12,4421
2016-05-13,5025
2016-05-14,4488
2016-05-15,4209
2016-05-16,4892
2016-05-17,4650
2016-05-18,4211
2016-05-19,4655
2016-05-20,5228
2016-05-21,5401
2016-05-22,5305
2016-05-23,5324
2016-05-24,6044
2016-05-25,5613
2016-05-26,5391
2016-05-27,6274
2016-05-28,5723
2016-05-29,5146
2016-05-30,5723
2016-05-31,5987
2016-06-01,5877
2016-06-02,5696
2016-06-03,6462
2016-06-04,6417
2016-06-05,6668
2016-06-06,6723
2016-06-07,6383
2016-06-08,5831
2016-06-09,6455
2016-06-10,6715
2016-06-11,5762
2016-06-12,5339
2016-06-13,6010
2016-06-14,5809
2016-06-15,5547
2016-06-16,5972
2016-06-17,5758
2016-06-18,5057
2016-06-19,4960
2016-06-20,5966
2016-06-21,6525
2016-06-22,6306
2016-06-23,6973
2016-06-24,7509
2016-06-25,7082
2016-06-26,6134
2016-06-27,7233
2016-06-28,6721
2016-06-29,6380
2016-06-30,7160
2016-07-01,7099
2016-07-02,6524
2016-07-03,6686
2016-07-04,7328
2016-07-05,7844
2016-07-06,7846
2016-07-07,7789
2016-07-08,7715
2016-07-09,8070
2016-07-10,7745
2016-07-11,7684
2016-07-12,7024
2016-07-13,7672
2016-07-14,7351
2016-07-15,7355
2016-07-16,7572
2016-07-17,7461
2016-07-18,7577
2016-07-19,7593
2016-07-20,8458
2016-07-21,9137
2016-07-22,9471
2016-07-23,9708
2016-07-24,10149
2016-07-25,10030
2016-07-26,9623
2016-07-27,10419
2016-07-28,10113
2016-07-29,10080
2016-07-30,10461
2016-07-31,10851
2016-08-01,10759
2016-08-02,9908
2016-08-03,10314
2016-08-04,11185
2016-08-05,12341
2016-08-06,11941
2016-08-07,10668
2016-08-08,10559
2016-08-09,11136
2016-08-10,10583
2016-08-11,10213
2016-08-12,9772
2016-08-13,10335
2016-08-14,9399
2016-08-15,9162
2016-08-16,9551
2016-08-17,9448
2016-08-18,9288
2016-08-19,10687
2016-08-20,10447
2016-08-21,10645
2016-08-22,10728
2016-08-23,10795
2016-08-24,11650
2016-08-25,12110
2016-08-26,11645
2016-08-27,12019
2016-08-28,10721
2016-08-29,10480
2016-08-30,11054
2016-08-31,12291
2016-09-01,11755
2016-09-02,11378
2016-09-03,11832
2016-09-04,12341
2016-09-05,13322
2016-09-06,13672
2016-09-07,12271
2016-09-08,11820
2016-09-09,12655
2016-09-10,12084
2016-09-11,11096
2016-09-12,10035
2016-09-13,10786
2016-09-14,10810
2016-09-15,10086
2016-09-16,10944
2016-09-17,9788
2016-09-18,9281
2016-09-19,9976
2016-09-20,10387
2016-09-21,11540
2016-09-22,11097
2016-09-23,12274
2016-09-24,12409
2016-09-25,11570
2016-09-26,11322
2016-09-27,11604
2016-09-28,11494
2016-09-29,10919
2016-09-30,12210
2016-10-01,11298
2016-10-02,10042
2016-10-03,10943
2016-10-04,11887
2016-10-05,12357
2016-10-06,12093
2016-10-07,12677
2016-10-08,11175
2016-10-09,11504
